id,strategies,round,assets
75,defect,16,2682
76,random,16,1988
77,tft,16,432
78,tft,16,384
79,defect,16,2766
80,random,16,2003
81,coop,16,318
82,tft,16,380
83,random,16,1999
84,random,16,1795
85,tft,16,362
86,coop,16,268
87,tft,16,388
88,coop,16,308
89,tft,16,336
90,coop,16,322
91,defect,16,2619
92,coop,16,283
93,coop,16,294
94,defect,16,2671
95,tft,16,398
96,coop,16,289
97,tft,16,391
98,defect,16,2645
99,random,16,1931
0,coop,17,334
1,coop,17,316
2,tft,17,383
3,tft,17,376
4,random,17,1964
5,random,17,2007
6,coop,17,303
7,coop,17,322
8,coop,17,301
9,random,17,1931
10,tft,17,373
11,random,17,451
12,random,17,1904
13,tft,17,405
14,defect,17,2663
15,tft,17,369
16,random,17,1962
17,random,17,1858
18,tft,17,402
19,coop,17,321
20,random,17,411
21,defect,17,2928
22,defect,17,2843
23,defect,17,2914
24,random,17,1983
25,random,17,422
26,coop,17,262
27,tft,17,381
28,defect,17,2679
29,tft,17,332
30,tft,17,358
31,random,17,1877
32,defect,17,2789
33,defect,17,2874
34,tft,17,357
35,tft,17,359
36,defect,17,2735
37,tft,17,327
38,defect,17,2990
39,coop,17,289
40,defect,17,2767
41,tft,17,370
42,random,17,2088
43,random,17,1984
44,random,17,2050
45,defect,17,2830
46,random,17,1864
47,coop,17,290
48,random,17,1901
49,random,17,1902
50,defect,17,2926
51,defect,17,2871
52,defect,17,2767
53,tft,17,379
54,tft,17,395
55,coop,17,314
56,tft,17,396
57,tft,17,407
58,defect,17,2649
59,random,17,1752
60,random,17,2158
61,tft,17,367
62,random,17,1790
63,random,17,1875
64,tft,17,390
65,tft,17,387
66,tft,17,375
67,random,17,1963
68,coop,17,341
69,defect,17,3043
70,random,17,2093
71,defect,17,2883
72,random,17,2009
73,tft,17,353
74,coop,17,310
75,defect,17,2800
76,random,17,2072
77,tft,17,432
78,tft,17,384
79,defect,17,2890
80,random,17,2095
81,coop,17,318
82,tft,17,380
83,random,17,2107
84,random,17,1863
85,tft,17,362
86,coop,17,268
87,tft,17,388
88,coop,17,308
89,tft,17,336
90,coop,17,322
91,defect,17,2745
92,coop,17,283
93,coop,17,294
94,defect,17,2795
95,tft,17,398
96,coop,17,289
97,tft,17,391
98,defect,17,2761
99,random,17,2009
0,coop,18,334
1,coop,18,316
2,tft,18,383
3,tft,18,376
4,random,18,2048
5,random,18,2087
6,coop,18,303
7,coop,18,322
8,coop,18,301
9,random,18,2009
10,tft,18,373
11,random,18,451
12,random,18,1970
13,tft,18,405
14,defect,18,2779
15,tft,18,369
16,random,18,2048
17,random,18,1940
18,tft,18,402
19,coop,18,321
20,random,18,411
21,defect,18,3048
22,defect,18,2991
23,defect,18,3034
24,random,18,2063
25,random,18,422
26,coop,18,262
27,tft,18,381
28,defect,18,2799
29,tft,18,332
30,tft,18,358
31,random,18,1939
32,defect,18,2917
33,defect,18,3002
34,tft,18,357
35,tft,18,359
36,defect,18,2869
37,tft,18,327
38,defect,18,3110
39,coop,18,289
40,defect,18,2897
41,tft,18,370
42,random,18,2170
43,random,18,2062
