"","id","strategies","round","assets"
"1689",88,"defect",16,2791
"1690",89,"random",16,1979
"1691",90,"defect",16,2718
"1692",91,"random",16,1968
"1693",92,"tft",16,394
"1694",93,"coop",16,303
"1695",94,"tft",16,352
"1696",95,"coop",16,273
"1697",96,"random",16,1969
"1698",97,"defect",16,2733
"1699",98,"tft",16,350
"1700",99,"random",16,1971
"1701",0,"random",17,1931
"1702",1,"coop",17,300
"1703",2,"tft",17,417
"1704",3,"tft",17,350
"1705",4,"random",17,2054
"1706",5,"defect",17,3106
"1707",6,"random",17,1974
"1708",7,"tft",17,459
"1709",8,"coop",17,282
"1710",9,"random",17,2044
"1711",10,"coop",17,342
"1712",11,"defect",17,2923
"1713",12,"tft",17,420
"1714",13,"random",17,1988
"1715",14,"defect",17,2972
"1716",15,"defect",17,2909
"1717",16,"random",17,2034
"1718",17,"coop",17,309
"1719",18,"coop",17,318
"1720",19,"random",17,2061
"1721",20,"defect",17,2696
"1722",21,"tft",17,330
"1723",22,"tft",17,397
"1724",23,"tft",17,387
"1725",24,"random",17,2040
"1726",25,"random",17,1728
"1727",26,"tft",17,373
"1728",27,"coop",17,360
"1729",28,"tft",17,370
"1730",29,"coop",17,272
"1731",30,"random",17,1994
"1732",31,"tft",17,388
"1733",32,"random",17,1881
"1734",33,"tft",17,377
"1735",34,"coop",17,314
"1736",35,"defect",17,2973
"1737",36,"defect",17,2868
"1738",37,"defect",17,3005
"1739",38,"random",17,2113
"1740",39,"random",17,2050
"1741",40,"tft",17,357
"1742",41,"defect",17,2830
"1743",42,"defect",17,2865
"1744",43,"tft",17,375
"1745",44,"defect",17,3018
"1746",45,"defect",17,3022
"1747",46,"random",17,2153
"1748",47,"defect",17,2998
"1749",48,"tft",17,408
"1750",49,"defect",17,3056
"1751",50,"coop",17,323
"1752",51,"defect",17,2900
"1753",52,"coop",17,318
"1754",53,"tft",17,349
"1755",54,"coop",17,294
"1756",55,"coop",17,280
"1757",56,"tft",17,367
"1758",57,"random",17,2120
"1759",58,"defect",17,2913
"1760",59,"coop",17,315
"1761",60,"tft",17,359
"1762",61,"coop",17,305
"1763",62,"random",17,2028
"1764",63,"coop",17,318
"1765",64,"tft",17,422
"1766",65,"defect",17,2760
"1767",66,"coop",17,323
"1768",67,"tft",17,410
"1769",68,"tft",17,384
"1770",69,"defect",17,2773
"1771",70,"random",17,2097
"1772",71,"coop",17,286
"1773",72,"tft",17,381
"1774",73,"defect",17,2937
"1775",74,"random",17,2032
"1776",75,"random",17,2135
"1777",76,"random",17,2108
"1778",77,"coop",17,314
"1779",78,"random",17,2058
"1780",79,"tft",17,357
"1781",80,"tft",17,364
"1782",81,"defect",17,2877
"1783",82,"defect",17,2977
"1784",83,"tft",17,354
"1785",84,"defect",17,3087
"1786",85,"random",17,2114
"1787",86,"random",17,1955
"1788",87,"tft",17,382
"1789",88,"defect",17,2909
"1790",89,"random",17,2065
"1791",90,"defect",17,2856
"1792",91,"random",17,2036
"1793",92,"tft",17,394
"1794",93,"coop",17,303
"1795",94,"tft",17,352
"1796",95,"coop",17,273
"1797",96,"random",17,2063
"1798",97,"defect",17,2857
"1799",98,"tft",17,350
"1800",99,"random",17,2055
"1801",0,"random",18,2015
"1802",1,"coop",18,300
"1803",2,"tft",18,417
"1804",3,"tft",18,350
"1805",4,"random",18,2158
"1806",5,"defect",18,3250
"1807",6,"random",18,2044
"1808",7,"tft",18,459
"1809",8,"coop",18,282
"1810",9,"random",18,2128
"1811",10,"coop",18,342
"1812",11,"defect",18,3037
"1813",12,"tft",18,420
"1814",13,"random",18,2078
"1815",14,"defect",18,3122
"1816",15,"defect",18,3037
"1817",16,"random",18,2118
"1818",17,"coop",18,309
"1819",18,"coop",18,318
"1820",19,"random",18,2145
"1821",20,"defect",18,2816
"1822",21,"tft",18,330
"1823",22,"tft",18,397
"1824",23,"tft",18,387
"1825",24,"random",18,2126
"1826",25,"random",18,1810
"1827",26,"tft",18,373
"1828",27,"coop",18,360
"1829",28,"tft",18,370
"1830",29,"coop",18,272
"1831",30,"random",18,2070
"1832",31,"tft",18,388
"1833",32,"random",18,1951
"1834",33,"tft",18,377
"1835",34,"coop",18,314
"1836",35,"defect",18,3111
"1837",36,"defect",18,3000
"1838",37,"defect",18,3139
"1839",38,"random",18,2221
"1840",39,"random",18,2162
"1841",40,"tft",18,357
"1842",41,"defect",18,2970
"1843",42,"defect",18,2975
"1844",43,"tft",18,375
"1845",44,"defect",18,3174
"1846",45,"defect",18,3144
"1847",46,"random",18,2273
"1848",47,"defect",18,3148
"1849",48,"tft",18,408
"1850",49,"defect",18,3190
"1851",50,"coop",18,323
"1852",51,"defect",18,3034
